Employee Name,Employee ID,Applicant Source,Status,CV Submission Date,CV Review,HR Interview Date,HR Interview,Hiring  Date,Manager Interview,Gender,Department,Job Type,Exit Date,Exit Type,Exit Reason,Years of Experience,Salary,Bonus,Last Performance Rating,Promotion Date,Training Hours Completed,Satisfaction Score,Engagement Score,Number of  Leaves
Tanya Finley,b4b4f285,Internal,Hired,30-03-2021,Failed,25-06-2021,Failed,05-11-2022,Failed,Male,Finance,Contract,12-02-2021,,Layoff,24,77374,5663,5,17-12-2023,163,8,6,10
Stephen Davies,c21b8351,Internal,Hired,14-12-2023,Failed,24-07-2021,Failed,06-12-2023,Passed,Male,Operations,Contract,03-09-2023,Involuntary,Layoff,11,103131,1535,4,18-12-2023,49,7,6,4
April Cole,8b536ba5,Online Application,Hired,02-01-2020,Passed,26-03-2024,Failed,25-03-2024,Failed,Female,Sales,Part-time,,Voluntary,Termination,30,97104,17162,2,18-11-2023,97,3,9,1
Jennifer Kaufman,3c2c68eb,Internal,New hire,31-05-2023,Passed,29-10-2020,Passed,13-05-2022,Passed,Female,IT,Part-time,10-11-2020,Involuntary,Layoff,20,104432,12894,4,19-11-2023,112,4,7,14
Aaron Bradley,958534a8,Online Application,Hired,27-07-2022,Failed,16-05-2020,Failed,08-04-2020,Passed,Female,Finance,Full-time,17-01-2021,Voluntary,Other,12,41568,13275,1,03-07-2023,58,3,8,12
Joseph Ramos,6f550c6a,Online Application,New hire,09-11-2022,Failed,02-03-2024,Passed,21-01-2020,Passed,Female,Operations,Full-time,01-04-2021,Involuntary,Layoff,7,49417,10894,1,04-07-2023,16,7,1,7
Gabriel Becker,ab57ab64,Internal,Hired,20-08-2020,Failed,25-07-2024,Passed,04-01-2024,Passed,Other,Sales,Contract,18-01-2021,Involuntary,Other,11,133208,19983,5,05-07-2023,37,10,7,15
George Thomas,a4403792,Agency,New hire,14-08-2024,Failed,09-10-2021,Passed,16-06-2023,Passed,Female,Sales,Part-time,,Involuntary,,2,144071,5564,2,06-07-2023,181,10,9,10
Stephen Solis,e0b204d3,Internal,Hired,18-07-2021,Passed,25-12-2023,Passed,18-03-2024,Failed,Female,Operations,Full-time,14-06-2022,Voluntary,Other,16,72995,3949,4,07-07-2023,43,2,5,13
Blake Chavez,5c2efeae,Internal,Hired,20-07-2023,Passed,15-10-2022,Failed,11-05-2021,Failed,Male,Operations,Full-time,,Voluntary,Other,10,94642,2229,1,08-07-2023,109,3,9,5
Corey Lopez,292923df,Internal,Hired,15-01-2023,Passed,22-04-2022,Passed,20-02-2023,Passed,Female,Marketing,Full-time,,Involuntary,Personal Reasons,2,66318,13128,1,09-07-2023,174,8,4,7
Michael Hill,7c3f7d22,Online Application,New hire,02-09-2022,Passed,08-10-2021,Passed,06-08-2021,Failed,Female,Finance,Contract,24-02-2023,Voluntary,,1,102242,5985,4,,154,6,4,8
Charles Ellis,437dd2db,Online Application,New hire,07-05-2022,Failed,21-03-2022,Failed,10-06-2024,Failed,Other,IT,Full-time,,,Retirement,11,88930,13937,3,,69,9,1,15
Brandon Wyatt,f9df6ec3,Online Application,Hired,29-01-2023,Failed,23-06-2021,Passed,21-08-2024,Failed,Other,Marketing,Contract,,Voluntary,Termination,19,71673,3604,1,,149,7,4,7
Zachary Smith,0301edc9,Online Application,New hire,11-06-2021,Passed,27-04-2023,Failed,03-07-2024,Passed,Male,Finance,Part-time,10-11-2020,Voluntary,,25,46664,1154,5,21-10-2021,92,1,9,7
Brandon Guerra,530a4338,Internal,Hired,09-06-2024,Passed,16-02-2021,Passed,21-02-2021,Passed,Male,Finance,Contract,,,,1,110759,6113,4,22-10-2021,12,5,6,8
Jody Lewis,7a4d4e15,Agency,Hired,06-06-2024,Failed,02-07-2022,Passed,18-12-2023,Passed,Male,Sales,Part-time,02-05-2021,Involuntary,Retirement,20,90885,12947,4,,86,7,6,2
Chad Shaw,37d1142e,Agency,Hired,22-09-2022,Passed,08-02-2022,Failed,19-07-2023,Failed,Female,Finance,Full-time,10-11-2020,Voluntary,Personal Reasons,1,142208,16734,3,18-07-2024,48,6,6,4
Christopher Mack,905c7eb7,Online Application,New hire,23-08-2021,Passed,12-02-2023,Failed,23-06-2020,Passed,Other,Finance,Contract,,Voluntary,Other,14,134145,18726,1,19-07-2024,88,2,7,13
Matthew Moore,af7edd05,Agency,Hired,23-05-2020,Failed,18-07-2020,Passed,31-05-2021,Failed,Female,Sales,Full-time,21-04-2022,Voluntary,Layoff,15,98811,4022,2,20-07-2024,38,5,7,7
Natasha Nelson,d2a15251,Agency,Hired,31-07-2020,Passed,16-09-2023,Failed,21-07-2021,Passed,Other,HR,Full-time,,Voluntary,,16,51601,11486,5,21-07-2024,108,5,10,11
Stephanie Lopez,27b10b06,Internal,Hired,31-07-2023,Failed,09-11-2020,Failed,08-05-2020,Failed,Female,IT,Contract,,,Personal Reasons,12,132779,8000,4,22-07-2024,135,8,3,0
Holly Bradley,e9cc374d,Agency,Hired,02-08-2023,Passed,02-04-2024,Failed,03-04-2022,Failed,Female,Operations,Full-time,,Voluntary,Termination,3,56595,18201,3,23-07-2024,118,3,4,14
Mr. Anthony Gibbs,4764ef71,Agency,New hire,08-01-2024,Passed,09-08-2020,Passed,27-07-2024,Failed,Other,Finance,Part-time,,Involuntary,Termination,5,72716,2816,4,24-07-2024,107,1,3,1
Jordan Preston,28e21589,Internal,New hire,30-09-2022,Passed,24-12-2021,Failed,09-07-2022,Passed,Other,HR,Contract,,Voluntary,Termination,16,144386,14445,2,25-07-2024,71,2,5,9
Emily Peterson,c51f52f7,Internal,New hire,14-12-2021,Failed,25-01-2021,Failed,22-08-2021,Failed,Female,IT,Contract,30-12-2022,Involuntary,Personal Reasons,30,135876,19961,5,,9,3,3,14
Thomas Johnson,c3f14398,Internal,New hire,25-06-2023,Failed,29-03-2020,Failed,05-03-2021,Failed,Male,Finance,Part-time,28-03-2024,Involuntary,Personal Reasons,17,121151,14733,2,,46,7,1,12
Katherine Jones,14d32dc5,Internal,Hired,24-12-2021,Failed,05-08-2021,Failed,10-06-2022,Failed,Other,HR,Full-time,02-05-2022,Voluntary,Termination,6,90150,17994,4,29-11-2020,101,1,3,5
Robert Erickson,51059ffa,Agency,Hired,21-08-2022,Failed,28-06-2024,Passed,02-01-2020,Passed,Male,IT,Part-time,,Voluntary,Other,15,110368,7459,3,30-11-2020,65,9,7,12
Michelle Martin,fc881f55,Online Application,Hired,11-06-2023,Failed,24-04-2020,Passed,23-12-2023,Passed,Other,Finance,Part-time,,Involuntary,Termination,19,83031,10856,2,01-12-2020,59,2,2,1
